CSI분류코드,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
    100만원미만,106,104,103,103,103,107,102,104,108,104,103,102,104,106,99,105,102,96,101,99,103,107,106,104,103,105,104,104,104,108,109,107,105,104,103,102,97,99,98,102,101,98,98,100,101,105,102,105,98,100,100,104,105,106,101,107,105,108,107,104,106,104,106,110,108,108,114,109,108,113,109,111,112,114,111,113,110,111,98,101,101,105,103,107,103,105,107,95,101,103,102,98,99,101,104,104,101,98,98,96,100,100,101,98,101,99,101,98,97,100
    100-200만원,108,107,108,105,108,108,109,108,109,110,107,109,110,108,109,110,109,107,109,111,107,111,109,109,107,108,106,105,107,103,104,109,102,105,101,104,106,101,101,100,104,104,104,103,101,101,102,103,105,100,101,108,104,103,105,101,107,104,105,106,104,105,107,105,107,105,105,104,102,105,103,108,106,104,107,108,105,108,104,106,99,101,105,101,107,101,101,105,101,102,100,104,102,102,102,104,103,102,103,105,103,102,102,105,106,108,110,110,105,103
    200-300만원,109,107,107,106,105,106,108,107,107,109,110,106,105,106,107,108,109,110,109,106,106,104,105,108,107,108,109,110,109,107,105,106,105,103,104,101,106,105,107,104,105,105,105,103,103,102,100,102,105,103,107,108,107,106,108,104,107,103,104,105,107,106,105,108,106,104,108,106,104,104,104,105,102,104,107,104,106,108,104,106,106,107,104,101,105,103,102,104,102,101,104,103,104,104,104,104,105,104,105,101,102,103,103,106,104,102,104,103,103,102
    300-400만원,104,102,102,101,104,106,105,104,103,106,107,105,104,105,105,104,105,107,105,104,108,103,105,105,105,103,106,102,100,107,104,104,106,107,103,106,102,106,104,103,104,104,101,103,102,104,102,104,101,104,104,107,104,105,103,103,105,108,105,107,107,104,105,105,102,107,105,103,105,106,104,104,104,104,101,105,106,106,103,106,106,107,109,107,104,107,104,103,103,102,101,101,101,103,105,100,103,102,102,104,104,103,104,102,103,103,103,102,103,103
    400-500만원,102,101,106,105,106,101,102,104,102,102,106,101,99,99,101,102,101,100,102,102,99,99,100,98,99,100,96,94,100,101,101,105,102,101,102,101,102,102,103,99,98,99,100,99,99,100,100,100,100,98,95,100,98,99,101,101,99,98,100,100,99,101,101,102,103,101,99,105,102,103,102,101,100,102,101,100,103,100,105,99,101,102,103,102,104,104,103,102,104,103,102,102,104,101,101,100,101,101,98,102,102,100,100,100,101,100,101,102,100,100
    500만원이상,99,101,98,100,99,100,102,101,105,102,103,98,101,100,97,94,96,97,96,97,97,99,99,97,97,96,96,96,97,99,99,100,96,96,100,100,99,97,99,98,97,94,96,96,98,97,98,99,97,95,96,100,99,98,96,97,100,100,100,99,100,99,102,98,99,97,98,98,99,99,99,98,96,95,97,96,95,97,100,99,100,101,101,101,100,98,97,93,95,97,95,97,99,98,100,96,96,96,96,94,97,97,96,97,96,98,95,97,96,96
    자가,104,104,102,102,103,103,103,103,104,104,106,103,103,103,102,101,101,102,102,101,102,103,103,102,101,102,100,99,100,101,101,102,100,100,100,101,100,101,101,99,99,99,99,98,100,100,100,101,100,99,100,103,101,101,100,99,102,101,102,102,102,101,102,103,101,101,101,100,100,101,101,101,100,101,100,100,101,101,100,100,100,102,102,100,101,101,99,97,98,99,98,99,100,98,99,98,98,98,98,97,99,98,99,99,99,99,99,99,98,98
    임차 등,105,103,106,106,106,108,108,108,109,109,107,104,104,103,105,105,107,107,107,107,104,103,104,105,105,103,107,105,105,109,106,109,105,106,105,104,106,103,104,104,104,102,102,104,102,102,100,102,101,100,100,106,104,104,104,104,106,105,103,105,104,104,106,104,105,103,105,107,106,107,104,105,105,102,105,104,104,106,106,105,106,106,106,106,106,104,105,102,103,103,103,102,103,105,106,104,104,102,102,103,104,103,102,103,103,103,104,104,103,102
    서울,105,102,104,103,104,105,106,107,105,104,106,103,104,104,103,102,104,102,103,101,102,101,101,101,100,99,101,101,104,101,102,104,102,102,102,102,101,101,102,102,101,101,102,102,102,101,103,103,100,98,98,103,100,99,100,100,102,102,103,103,105,103,106,105,107,103,103,103,102,102,101,103,101,102,102,102,101,101,100,101,101,102,103,101,103,98,99,98,98,100,98,99,98,99,101,99,100,99,96,97,99,98,99,99,101,99,97,101,100,99
    6대광역시,106,107,106,105,105,107,106,107,106,106,107,104,105,104,102,102,105,106,105,105,103,103,104,104,105,105,105,103,101,105,104,106,103,104,103,105,104,104,104,103,102,101,101,101,102,102,100,104,102,102,104,106,105,106,105,103,104,106,105,105,106,105,106,106,103,103,104,103,103,104,103,104,103,103,101,103,104,104,104,104,104,103,105,105,105,104,102,101,102,101,100,102,103,102,102,102,102,101,100,101,102,102,100,102,102,102,104,102,101,99
    기타도시,103,102,102,102,103,103,103,102,105,105,106,104,102,103,103,103,101,102,103,103,103,104,104,104,102,102,101,100,101,104,102,104,101,100,101,100,101,100,101,99,100,99,99,99,99,99,99,100,100,98,99,103,101,101,100,100,103,101,100,102,100,100,101,101,101,101,102,102,102,103,102,102,100,100,102,100,101,102,102,102,102,104,103,102,102,103,101,98,99,100,100,99,101,101,102,99,99,99,100,99,100,100,100,101,99,101,100,100,99,100
